S,67,T,prob,Connected,64,59,58,54,50,44,35,30,26,24,23,22,20,17,15,13,12,8,2,63,65,61,62,45,46,40,42,31,38,19,32,9,27,6,21,4,14,1,7
1,,1,0.21,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.63,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.63,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.16,False,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.16,False,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.24,False,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.24,False,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.24,False,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.24,False,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.53,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.53,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.47,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.47,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.53,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.53,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.47,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.47,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.2107,False,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.2107,False,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.17200000000000001,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.17200000000000001,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.0473,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.0473,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.1764,True,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.1764,True,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.144,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.144,True,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.039599999999999996,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
