S,41,T,prob,Connected,36,27,11,7,42,46,40,43,34,37,32,33,29,30,26,28,22,24,20,23,14,15,12,17,8,13
0,,1,0.35,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.35,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.15,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.15,True,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.19720000000000001,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.19720000000000001,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.0928,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.0928,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.4828,True,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.4828,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.22719999999999999,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.22719999999999999,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.19720000000000001,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.19720000000000001,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.0928,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.0928,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.4828,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.4828,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.22719999999999999,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.22719999999999999,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.074,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.074,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.126,True,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.126,True,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.1961,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.1961,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.33390000000000003,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.33390000000000003,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.0999,False,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
1,,0,0.0999,False,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
0,,0,0.1701,True,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
1,,0,0.1701,True,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
0,,1,0.074,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.074,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.126,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.126,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.1961,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.1961,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.33390000000000003,True,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.33390000000000003,True,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.0999,False,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
1,,1,0.0999,False,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
0,,1,0.1701,True,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
1,,1,0.1701,True,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
0,,0,0.11199999999999999,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.11199999999999999,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.11549999999999999,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.11549999999999999,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.12249999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,
1,,0,0.12249999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,
0,,0,0.0864,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.0864,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.08910000000000001,True,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.08910000000000001,True,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.0945,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
1,,0,0.0945,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
0,,0,0.1216,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
1,,0,0.1216,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
0,,0,0.1254,True,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
1,,0,0.1254,True,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
0,,0,0.13299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
1,,0,0.13299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
0,,1,0.11199999999999999,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.11199999999999999,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.11549999999999999,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.11549999999999999,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.12249999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,
1,,1,0.12249999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,
0,,1,0.0864,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.0864,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.08910000000000001,True,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.08910000000000001,True,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.0945,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
1,,1,0.0945,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
0,,1,0.1216,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
1,,1,0.1216,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
0,,1,0.1254,True,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
1,,1,0.1254,True,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
0,,1,0.13299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
1,,1,0.13299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
0,,0,0.3456,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.3456,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.19440000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.19440000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.24960000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.24960000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.1404,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.1404,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
0,,0,0.044800000000000006,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
