S,53,T,prob,Connected,42,36,35,30,29,25,20,19,18,10,7,4,55,57,52,56,51,54,44,47,34,38,23,39,17,33,15,32,9,28,6,26,1,16,41,43,45
0,,0,0.10880000000000001,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.10880000000000001,True,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.21120000000000003,True,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.21120000000000003,True,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.05780000000000001,False,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,0,0.05780000000000001,True,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,0,0.11220000000000001,True,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,0,0.11220000000000001,True,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,1,0.17340000000000003,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,1,0.17340000000000003,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.3366,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,1,0.3366,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.10880000000000001,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.10880000000000001,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.21120000000000003,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.21120000000000003,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.05780000000000001,False,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,1,0.05780000000000001,True,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,1,0.11220000000000001,True,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,1,0.11220000000000001,True,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,0,0.0858,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,0,0.0858,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,0,0.17420000000000002,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,0,0.17420000000000002,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,0,0.2442,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,0,0.2442,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,0,0.4958,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,0,0.4958,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,1,0.0858,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,1,0.0858,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,1,0.17420000000000002,True,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,1,0.17420000000000002,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,1,0.2442,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,1,0.2442,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,1,0.4958,True,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,1,0.4958,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,0,0.2115,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
1,,0,0.2115,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
0,,0,0.2585,True,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,
1,,0,0.2585,True,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,
0,,0,0.23850000000000002,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
1,,0,0.23850000000000002,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
0,,0,0.29150000000000004,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
