S,62,T,prob,Connected,61,17,58,59,51,56,50,55,44,54,42,53,41,52,33,43,21,34,20,40,9,37,5,35,1,31,27,48,49
1,,1,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.22440000000000002,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,1,0.22440000000000002,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,1,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,1,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,1,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,2,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,2,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,2,0.22440000000000002,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,2,0.22440000000000002,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,2,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,2,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,2,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,2,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,2,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,2,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,2,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,2,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,0,0.057999999999999996,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,0,0.057999999999999996,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,0,0.145,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,0,0.145,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,0,0.087,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,
1,,0,0.087,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,
0,,0,0.06,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,0,0.06,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,0,0.15,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,0,0.15,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,0,0.09,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
1,,0,0.09,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
0,,0,0.082,False,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,
1,,0,0.082,False,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,
0,,0,0.205,False,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
1,,0,0.205,False,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
0,,0,0.12299999999999998,True,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
1,,0,0.12299999999999998,False,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
0,,1,0.057999999999999996,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,1,0.057999999999999996,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,1,0.145,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,1,0.145,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,1,0.087,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,
