S,57,T,prob,Connected,43,40,35,31,23,48,52,47,56,46,51,38,39,34,37,33,36,26,29,19,21,18,20,11,15,4,5
1,,0,0.03780000000000001,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
2,,0,0.03780000000000001,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
0,,0,0.06300000000000001,True,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
1,,0,0.06300000000000001,True,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
2,,0,0.06300000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
0,,1,0.12880000000000003,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.12880000000000003,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2,,1,0.12880000000000003,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.12420000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.12420000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
2,,1,0.12420000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.20700000000000002,False,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
1,,1,0.20700000000000002,False,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
2,,1,0.20700000000000002,False,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
0,,1,0.11200000000000002,True,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.11200000000000002,True,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
2,,1,0.11200000000000002,True,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.10800000000000001,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.10800000000000001,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
2,,1,0.10800000000000001,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.18000000000000002,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
1,,1,0.18000000000000002,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
2,,1,0.18000000000000002,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
0,,1,0.039200000000000006,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,
1,,1,0.039200000000000006,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,
2,,1,0.039200000000000006,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,
0,,1,0.03780000000000001,False,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
1,,1,0.03780000000000001,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
2,,1,0.03780000000000001,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
0,,1,0.06300000000000001,True,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
1,,1,0.06300000000000001,True,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
2,,1,0.06300000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
0,,0,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2,,0,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
2,,0,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
2,,0,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
2,,0,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2,,1,0.3174,False,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
2,,1,0.3726,False,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
2,,1,0.1426,False,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
2,,1,0.16740000000000002,False,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.23199999999999998,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.23199999999999998,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2,,0,0.23199999999999998,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.11599999999999999,True,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.11599999999999999,True,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
2,,0,0.11599999999999999,False,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.23199999999999998,True,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,
1,,0,0.23199999999999998,True,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,
2,,0,0.23199999999999998,False,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,
0,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
2,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.08000000000000002,False,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.08000000000000002,False,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
2,,0,0.08000000000000002,False,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
1,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
2,,0,0.16000000000000003,False,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
